Method,Group,Samples,Pass Rate (%),Avg Latency (s),Std Latency,Avg Total Tokens,Avg Input Tokens,Avg Output Tokens,Avg Chars,Memory Delta (MB)
No Guard,min_promote,18,100.0,21.294611111111113,5.698984317545889,2305.1666666666665,,,,
No Guard,mid_promote,21,100.0,52.714904761904755,16.697484208421226,5973.380952380952,,,,
No Guard,full_promote,21,100.0,72.51933333333334,11.927512080619886,8420.809523809523,,,,
No Guard,Overall,60,100.0,50.22036666666666,24.2189696606317,5729.516666666666,,,,
RAG,min_promote,18,100.0,10.341666666666667,2.24812201364501,2438.6666666666665,,,,
RAG,mid_promote,21,100.0,44.660285714285706,7.222202905920444,8599.380952380952,,,,
RAG,full_promote,21,100.0,71.28804761904763,15.141634223148406,15360.952380952382,,,,
RAG,Overall,60,100.0,43.68441666666666,26.600297733322698,9117.716666666667,,,,
vLLM GBNF,min_promote,18,100.0,7.835500000000001,0.23874506462407333,313.8888888888889,154.0,159.88888888888889,330.0,0.0
vLLM GBNF,mid_promote,21,100.0,60.92519047619048,5.049127633750683,1624.6666666666667,177.28571428571428,1447.3809523809523,3181.0,0.0
vLLM GBNF,full_promote,21,100.0,118.49095238095238,37.94629381306716,3005.4285714285716,248.14285714285714,2757.285714285714,6147.857142857143,0.012380952380952381
vLLM GBNF,Overall,60,100.0,65.1463,50.17995264074208,1714.7,195.1,1519.6,3364.1,0.004333333333333333
