timestamp,group,idx,seed,use_json_schema,status,elapsed_s,input_tokens,output_tokens,total_tokens,chars,outfile,error
2025-07-07T17:32:18,min_promote,1,42,False,success,30.907,188,387,3253,1129,output\min_promote\01_seed42.txt,
2025-07-07T17:32:45,min_promote,1,1001,False,success,26.055,188,390,2914,1147,output\min_promote\01_seed1001.txt,
2025-07-07T17:33:11,min_promote,1,20240704,False,success,25.159,188,387,2816,1129,output\min_promote\01_seed20240704.txt,
2025-07-07T17:33:28,min_promote,2,42,False,success,16.388,187,387,1928,1125,output\min_promote\02_seed42.txt,
2025-07-07T17:33:49,min_promote,2,1001,False,success,20.595,187,385,2314,1125,output\min_promote\02_seed1001.txt,
2025-07-07T17:34:12,min_promote,2,20240704,False,success,22.794,187,425,2534,1252,output\min_promote\02_seed20240704.txt,
2025-07-07T17:34:43,min_promote,3,42,False,success,30.148,195,393,3337,1125,output\min_promote\03_seed42.txt,
2025-07-07T17:35:08,min_promote,3,1001,False,success,25.063,195,401,2532,1145,output\min_promote\03_seed1001.txt,
2025-07-07T17:35:22,min_promote,3,20240704,False,success,13.752,195,438,1447,1322,output\min_promote\03_seed20240704.txt,
2025-07-07T17:35:53,min_promote,4,42,False,success,30.246,191,972,3422,3092,output\min_promote\04_seed42.txt,
2025-07-07T17:36:07,min_promote,4,1001,False,success,13.697,191,297,1556,826,output\min_promote\04_seed1001.txt,
2025-07-07T17:36:28,min_promote,4,20240704,False,success,19.742,191,440,2182,1360,output\min_promote\04_seed20240704.txt,
2025-07-07T17:36:45,min_promote,5,42,False,success,16.729,187,382,1846,1096,output\min_promote\05_seed42.txt,
2025-07-07T17:37:00,min_promote,5,1001,False,success,14.341,187,296,1648,830,output\min_promote\05_seed1001.txt,
2025-07-07T17:37:14,min_promote,5,20240704,False,success,13.827,187,292,1456,825,output\min_promote\05_seed20240704.txt,
2025-07-07T17:37:41,min_promote,6,42,False,success,26.704,195,429,2608,1301,output\min_promote\06_seed42.txt,
2025-07-07T17:38:01,min_promote,6,1001,False,success,19.338,195,398,1668,1117,output\min_promote\06_seed1001.txt,
2025-07-07T17:38:17,min_promote,6,20240704,False,success,15.795,195,297,1918,817,output\min_promote\06_seed20240704.txt,
2025-07-07T18:01:37,mid_promote,1,42,False,success,79.450,234,2168,8975,7015,output\mid_promote\01_seed42.txt,
2025-07-07T18:02:42,mid_promote,1,1001,False,success,64.516,234,2436,7453,7828,output\mid_promote\01_seed1001.txt,
2025-07-07T18:03:31,mid_promote,1,20240704,False,success,48.720,234,1435,5597,4698,output\mid_promote\01_seed20240704.txt,
2025-07-07T18:04:09,mid_promote,2,42,False,success,36.720,230,1543,4138,5160,output\mid_promote\02_seed42.txt,
2025-07-07T18:04:57,mid_promote,2,1001,False,success,48.274,230,1462,5634,4744,output\mid_promote\02_seed1001.txt,
2025-07-07T18:06:15,mid_promote,2,20240704,False,success,77.625,230,1736,6095,5777,output\mid_promote\02_seed20240704.txt,
2025-07-07T18:07:12,mid_promote,3,42,False,success,55.858,215,1711,6490,5486,output\mid_promote\03_seed42.txt,
2025-07-07T18:08:04,mid_promote,3,1001,False,success,51.318,215,1512,5722,4926,output\mid_promote\03_seed1001.txt,
2025-07-07T18:09:24,mid_promote,3,20240704,False,success,79.588,215,1736,9060,5705,output\mid_promote\03_seed20240704.txt,
2025-07-07T18:09:54,mid_promote,4,42,False,success,30.245,208,1536,3485,5098,output\mid_promote\04_seed42.txt,
2025-07-07T18:10:52,mid_promote,4,1001,False,success,57.113,208,1484,6444,4911,output\mid_promote\04_seed1001.txt,
2025-07-07T18:11:38,mid_promote,4,20240704,False,success,45.700,208,1753,5302,5267,output\mid_promote\04_seed20240704.txt,
2025-07-07T18:12:32,mid_promote,5,42,False,success,53.122,215,1517,5948,4834,output\mid_promote\05_seed42.txt,
2025-07-07T18:13:17,mid_promote,5,1001,False,success,44.469,215,1595,5078,5018,output\mid_promote\05_seed1001.txt,
2025-07-07T18:14:40,mid_promote,5,20240704,False,success,82.569,215,1905,9476,6009,output\mid_promote\05_seed20240704.txt,
2025-07-07T18:15:33,mid_promote,6,42,False,success,52.927,212,1548,6104,4916,output\mid_promote\06_seed42.txt,
2025-07-07T18:16:35,mid_promote,6,1001,False,success,60.723,212,1948,7122,6107,output\mid_promote\06_seed1001.txt,
2025-07-07T18:17:08,mid_promote,6,20240704,False,success,32.547,212,1547,3618,5094,output\mid_promote\06_seed20240704.txt,
2025-07-07T18:17:55,mid_promote,7,42,False,success,47.196,226,1530,5461,4889,output\mid_promote\07_seed42.txt,
2025-07-07T18:18:34,mid_promote,7,1001,False,success,38.434,226,1497,4397,4828,output\mid_promote\07_seed1001.txt,
2025-07-07T18:19:06,mid_promote,7,20240704,False,success,31.036,226,1823,3570,6041,output\mid_promote\07_seed20240704.txt,
2025-07-07T20:04:49,full_promote,1,42,False,success,49.960,268,2157,5924,7221,output\full_promote\01_seed42.txt,
2025-07-07T20:05:54,full_promote,1,1001,False,success,64.018,268,2263,7320,7496,output\full_promote\01_seed1001.txt,
2025-07-07T20:07:04,full_promote,1,20240704,False,success,69.851,268,2632,7775,8204,output\full_promote\01_seed20240704.txt,
2025-07-07T20:08:01,full_promote,2,42,False,success,56.118,307,2876,6525,9579,output\full_promote\02_seed42.txt,
2025-07-07T20:08:55,full_promote,2,1001,False,success,53.814,307,2904,6464,9640,output\full_promote\02_seed1001.txt,
2025-07-07T20:10:25,full_promote,2,20240704,False,success,89.256,307,3022,10662,9866,output\full_promote\02_seed20240704.txt,
2025-07-07T20:11:55,full_promote,3,42,False,success,89.364,300,4419,10413,14665,output\full_promote\03_seed42.txt,
2025-07-07T20:13:08,full_promote,3,1001,False,success,72.996,300,2997,8496,9916,output\full_promote\03_seed1001.txt,
2025-07-07T20:14:32,full_promote,3,20240704,False,success,83.522,300,2840,9560,9432,output\full_promote\03_seed20240704.txt,
2025-07-07T20:15:51,full_promote,4,42,False,success,77.888,317,3214,8974,11022,output\full_promote\04_seed42.txt,
2025-07-07T20:17:13,full_promote,4,1001,False,success,81.744,317,3034,9003,10223,output\full_promote\04_seed1001.txt,
2025-07-07T20:18:27,full_promote,4,20240704,False,success,73.374,317,2689,8664,8842,output\full_promote\04_seed20240704.txt,
2025-07-07T20:19:42,full_promote,5,42,False,success,74.506,338,4901,8436,17372,output\full_promote\05_seed42.txt,
2025-07-07T20:20:57,full_promote,5,1001,False,success,74.376,338,5156,8688,18547,output\full_promote\05_seed1001.txt,
2025-07-07T20:21:16,full_promote,5,20240704,False,error,19.098,0,0,0,0,output\full_promote\05_seed20240704.txt,"HTTPSConnectionPool(host='api.openai-proxy.org', port=443): Max retries exceeded with url: /google/v1beta/models/gemini-2.5-pro-preview-05-06:generateContent?%24alt=json%3Benum-encoding%3Dint (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"
2025-07-07T20:21:23,full_promote,6,42,False,error,5.030,0,0,0,0,output\full_promote\06_seed42.txt,"HTTPSConnectionPool(host='api.openai-proxy.org', port=443): Max retries exceeded with url: /google/v1beta/models/gemini-2.5-pro-preview-05-06:generateContent?%24alt=json%3Benum-encoding%3Dint (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))"
